title,description,genre_filtered,title_lower
The Testament,troy phelan eccentric elderly billionaire commits suicide minutes leaving vast fortune illegitimate daughter rachel lane instead six children three marriages reason revulsion years fighting embarrassment family well greed mdash much due neglect children multiple affairs personal business lawyers tasked protecting troy wishes well finding heiress nate riley high powered litigation lawyer recovering alcoholic sent brazil rachel believed living missionary nate trying find rachel troy family everything power contest new argue although troy examined three top psychiatrists nation lacking sanity time new journey pantanal south america way corumb nearly kills nate finally guide locate tribe rachel lane living refuses legacy anything connected nate unable convince otherwise returns united states contracting dengue fever mosquito meantime wives children respective lawyers continue attempting destroy disprove evidence troy phelan sanity even finally decide contest court fearing testimony deposition hurt case also realize two witnesses plaintiff lying would torn shreds nate trial ever take place settle matter nate agrees relatives troy phelan paid fifty million dollars minus lawyers fees stop turning contest legal quagmire nate returns jungle order get rachel sign settlement arrives learns rachel died malaria however left instructions money put trust benefit indigenous peoples nate control trust end book shows nate riding boat pantanal caring took month get back civilization testament,thriller,the testament
The Body,female archaeologist discovers ancient skeleton man aramaic inscription reads melek yehudayai king jews israel government invite vatican investigate matter suspect body could jesus christ one renowned archaeologist priests vatican committed suicide man broken faith former soldier catholic priest jim folan assigned continue investigation father folan arrives israel work reluctant archaeologist sharon golban mystery deepens danger intrigue suddenly find vatican united states soviets mossad mafia truth corpo sapir body,thriller,the body
The Three Roads,lieutenant bret taylor married wife knowing single overnight drinking binge shore leave war ship bombed water returns home find wife freshly murdered home bought never seen shock two events sends mental lapse asylum woman loves successful screenwriter calls specialist jogs memory sense duty taylor hits streets los angeles digging wife lies lovers attempt avenge murder book psychological thriller main action unraveling story within taylor mind reader denied information major characters obviously throughout whole novel meanwhile treated long passages theories main character limited number characters keeps possible solutions minimum book perhaps straightforward makes good mystery alfred knopf functioned editing publisher asked revisions considered slow paced novel macdonald cut good words concentrated action four days movie deadly companion double negative based novel three roads,thriller,the three roads
A Cry in the Night,jenny macpartland divorced single mother falls love artist erich kreuger working new york gallery marry within month set home erich vast minnesota ranch several months happily married jenny begins feel uneasy around increasingly unstable husband within year marriage ripped apart scandal jenny plans return new york city realizes pregnant completely dependent financially eric unsure jenny lives fear hides growing baby husband long physically jenny pregnancy progresses discovers eric obsession dead mother caroline exact image jenny facts begin add jenny realizes married carrying child soon finds planning leave starts stalk leaves without trip takes two children trying find truth trying also finds past soon cry night,thriller,a cry in the night
The Snow Tiger,story revolves around protagonist ian ballard works mine manager grandson ben ballard owner ballard holdings limited giant financial group based london specialising mining operations around world ben four sons including ian father ian father ben fallen apart ian father left settle town hukahoronui huka located south island new zealand late ian born father died shortly afterwards avalanche father death ian mother continued live huka years old time develops enmity local boy charlie peterson age group revealed later story ian years old charlie twin brother alec drowned town river since ian present riverside charlie held ian responsible alec death even though reality ian innocent start story ian years old injured gets trapped small avalanche skiing switzerland along friend mike mcgill expert study snow ian injures leg accident recuperating london mother home visited grandfather ben offers job managing director gold mine located huka indirectly controlled ballard holdings although ian initial reaction decline offer due history huka petersons eventually decides take offer keeping mind ben supported education story point onwards told flashback format hinged around courtroom government inquiry cause avalanche took place huka avalanche occurred july year ian arrived huka courtroom proceedings take place december year witnesses called inquiry recall experience avalanche story presented explanations time alternating june july december ian arrived huka june discovers gold mine barely making profit moreover confronted peterson brothers john eric charlie grown small town big supermarket hotel quite influential town council ian noticed huka changed lot since last visited place town grown bigger mountain slopes near town stripped tree cover lay bare covered completely snow finding alone place ian invites mike mcgill planning antarctica soon visit huka little time soon mcgill arrives huka extremely worried several things feels town imminent danger destroyed avalanche however mine management distrust ian due age town council controlled peterson brothers distrust ian refuse believe anything ian mcgill tell danger avalanche spite mcgill takes samples snow nearby mountain slopes concludes danger real imminent soon tries convey outside new zealand authorities christchurch town cut outside road town blocked snow electricity telephone wires cut minor avalanche witnessing events john eric peterson begin believe mcgill told start mobilise town resources prepare avalanche whole town making preparations avalanche hits people die result government inquiry surprising evidence presented shows charlie peterson actually deliberately started avalanche skiing aggressively top mountain slopes motive destroy gold mine extract revenge ian immediately arrested faces charges deaths several people including brother john avalanche also hearings december ian receives news grandfather ben died left control ballard holdings ian hand makes rich person also romantically linked liz peterson sister petersons marries end learns charlie behaviour snow tiger,thriller,the snow tiger
The Big Bad Wolf,alex cross middle training fbi assigned work kidnapping case federal judge wife kidnapped cross discovers kidnapping fits pattern recent kidnappings russian mobster known wolf kidnapping people selling sexual slavery addition judge wife subordinates also kidnap housewife several male college students clients though cross able identify wolf key player human trafficking ring true identity whereabouts remain mystery method contacting high tech secure website person fbi manages take custody ends dead hands mole eventually assistance new york city police department central intelligence agency secret service russian government fbi able arrest man name andrei prokopev though fbi believes wolf revealed end novel wolf fact still large big bad wolf,thriller,the big bad wolf
Marazan,philip stenning commercial pilot trained first world war engine fails crashes rescued escaped convict denis compton turns framed embezzlement italian half brother baron rodrigo mattani smuggling drugs england story tells stenning plays key role breaking drug ring involves episodes characteristic shute flying small boat sailing love story stenning major character shute first unpublished novel stephen morris stenning also crops comparatively minor character shute next two novels disdained lonely road marazan,thriller,marazan
The Night of Wenceslas,nicolas year old londoner witty wastrel novel archetypal anti hero hates job late father glass making business works odious nimek anticipation making full partner one day dreams inheriting untold riches uncle bela vancouver put end current servitude bossy irish girlfriend maura continually presses make something one true love car bought impulse maintenance keeps permanent hock garage owner ratface ricketts note arrives lawyer called stephen cunliffe stating uncle bela died canada left fortune goes see cunliffe forwards sum tide time begin enjoy fruits new estate however nicolas manages spend allowance matter days soon back cunliffe office arrange stable income stream however cunliffe declares uncle bela much alive cunliffe fact moneylender nicolas owes security distraught nicolas told discharge debt willing carry simple assignment prague bring back certain formulae glass making processes glass factory used belong pavelka associate cunliffe also happens wrestler past much cogitation nicolas travels prague city childhood stays plush hotel wenceslas square meets various bigwigs czech glass making industry escorted statuesque vlasta simenova night wenceslas,thriller,the night of wenceslas
Time to Hunt,begins four five years events black light bob lee daughter around owns horse ranch cares horses slipping deep depression due inability properly support family alienating wife child leave morning horseback ride friend another ranch wife shot nearly killed sniper friend killed bob assumes man mistaken killed attempt kill bob lee act plunges back world violence intrigue wife recuperates attempts unravel secrets behind assault book dual plot present plot dealing bob investigation wife attempted murder second plot set past beginning marine corps base late early young donny fenn squad leader group marines perform state funeral services marines killed vietnam war raging across world donny brought superiors ordered follow one men suspected sympathizing peace demonstrators led charismatic man named trig carter turn trig suspected ties extremist group incidentally donny girlfriend julie involved group war protestors donny discovers sympathies lie closer trig friends rather rat man donny defies naval investigators buying one way ticket front lines vietnam war shipped commanding officer admired donny courage gives enough money run julie marry donny meets bob lee swagger marine sniper top game joining bob lee new spotter scourge north vietnamese army already sizeable bounty bob lee head exciting firefight rescue overwhelmed outpost vengeful nva colonel calls big gun solaratov russian sniper man alive could possibly equal bob lee swagger donny getting extremely short close going home donny last day vietnam day spend completing paperwork send home makes fateful decision one last reconnaissance bob lee solaratov bullet ends bob lee career marine corps donny fenn life back present bob lee unravelling tapestry lies buried past years discovers may donny death originally thought time hunt,thriller,time to hunt
Persuader,book written first person second jack reacher novel treated fashion becomes apparent book written way conceal reader fact original kidnap teenage boy merely setup jack reacher actually working dea order bring boy father eventually accomplished obligatory gunfire mayhem taken place lee child presents well reacher initially back foot gaining upper hand due planning foresight little luck penultimate climactic battle reacher steroid enhanced giant masterpiece tension reacher encounters foe capable treating treats ordinary opponents persuader,thriller,persuader
A Stranger Is Watching,main characters novel steve peterson whose wife nina murdered two years six year old son neil witnessed murder sharon martin young journalist befriends novel opens steve sharon debate capital punishment young man named ronald thompson sentenced death nina murder sharon death penalty tries save thompson unknown thompson actually innocent real killer psychopath named august rommel taggart arty short calls foxy general rommel called desert fox kidnaps sharon neil hiding new york famed grand central station rest novel describes race time save three innocent victims stranger watching,thriller,a stranger is watching
The Three Hostages,time war sir richard hannay living rural tranquility bought fosse manor married mary lamington featured standfast small son named peter john hannay new friend local doctor tom greenslade well travelled learned man talks ominously one night psychology subconscious thrillers post war society later dick reads letter old boss sir walter bullivant warning soon asked undertake another job country next day julius victor visits hannay tells daughter adela kidnapped held hostage asking hannay help find later day macgillivray visits tells hannay sinister criminal organisation controlling mass disturbed disordered minds left great war tracked police forces world faced capture leaders taken three hostages victor daughter aristocratic student young boy sending families mysterious poem prove kidnappings linked also explains june round gang hostages must safe hannay adamant help third visitor day sir arthur warcliff tells missing son hannay drawn chase night lies awake pondering lines doggerel sent families connects something greenslade said recently next day tells greenslade bids remember drew phrases two concerning blind woman spinning barn norway matched verses poem third greenslade speech referred curiosity shop run elderly jew seems bear correspondence poem reference fields eden greenslade baffled hannay recalls hymn mentioning fields eden greenslade connects vague memories another day pondering gets closer hannay breaks pipe suddenly greenslade remembers evening country pub man named medina broken pipe hummed tune meeting mentioned ideas echoed poem hannay heads london meet macgillivray briefly runs old friend sandy arbuthnot macgillivray briefs enemies soon hannay meets medina handsome accomplished man hannay finds likes lot yet take confidence sees sandy medina three attend meeting elite dining club something medina says affects sandy extremely becomes rude angry tries drag hannay away hannay refuses walks home medina stop medina house pipe hannay strange dreamlike experience remembers little later realising medina attempted hypnotise somehow resisted wakes next day feeling ill visits doctor newhover whose name planted head refers masseuse named madame breda whose house also sees strange young girl hypnotised unseen hands strange voice resists later reports experiences sandy urges watch medina closely makes plans investigate house masseuse take researches europe time hannay hangs around medina one day attending secret dance hall friend archie roylance sees beautiful girl dead eyes led away medina butler learns little visits newhover learns plans head norway last visiting medina taken library first hypnotized introduced medina mother striking frightening blind old woman hypnotised made demeaning tasks sure control hears medina plans meet one kharama learns gang plans break midsummer faints exhaustion hannay arranges friend archie roylance flown home norway time comes taken meet kharama impressive sinister indian discusses hypnotism medina later gets note sandy arranging meeting telling medina ill needs week rest fixes rendezvous roylance heads home fosse sets pretence sickbed meets sandy share found slips onto boat taking newhover norway arriving sees newhover head boat follows discreet distance knowing newhover heading leaves boat village bidding pilot await return heads overland merdal wishing seen inn newhover approaches locals find lodging amazed meet herr gaudian german engineer met events greenmantle gaudian reveals knows newhover truth former german agent agrees help hannay hannay takes lodgings alongside gaudian learns farm hills leased englishman next day watch newhover travel man replaces head village spy place learn little second night hannay heading farm sees newhover hurrying anxiously hill heads scrub avoid seen comes across someone scrambling bushes man falls stream hannay rescues recognises lord mercot one hostages feed bathe hear broken story hypnotised abduction must persuade return captors time hostages found promising gaudian keeping eye brave boy heads back prison hannay heads rendezvous archie roylance despite weather makes safe back england returns london medina spends days medina including another meeting kharama little avail hearing hymn mentioned greenslade start quest inspired investigate london place suggesting fields eden calling old boss bullivant expert old london help find mention pleasure resort name hannay travels stood finds antique shop clearly front arranges housebreaking expert let night explores finding shop backs larger newer house sees man recognises time hypnosis medina following sound music finds room overlooking dance club saw odell medina butler shock sees old friend turpin dancing wife mary meets mary later aunts house learns working sandy also knows fields eden found missing girl adela victor disguised one dancers club closer finding little boy hannay invited stay medina house moves hears mary archie roylance club upset odell treatment girl revealed turpin identity hannay visits roylance hospital recovering beaten odell turpin disappeared hannay later learns taken part hypnotised kharama strange house turpin shakes paralysis sees girl house plays quiet time hannay moves medina whose cool facade weakened somewhat hears sandy spotted london week stays house close scrutiny learns little gets telegram gaudian saying mercot captors fought gaudian lock bringing mercot home tom greenslade visits message mary saying turpin adela victor safe hannay discovers medina plans liquidate gang brought forward manages warn mary learn aside dowdy somehow elegant district visitor coming house madame breda palmyra square befriending maid warned mistress hannay continues cling medina last greenslade visits instructs hannay come dance club following night leaving door medina unlocked mercot travels home train turpin awakened adela trance held mysterious house sets club around britain europe world police close variety people places sandy briefly drops hannay medina dinner thursday club hannay goes dance club sees staff rounded turpin soundly beat odell mary visits madame breda leaving bundle arms police swarming house behind hannay returns medina house reveals knows pleading medina hand boy despite upset plans medina cool shaken somewhat kharama enters reveals none sandy arbuthnot looked turpin adela medina request threatens expose refuses heal child lavater old friend sandy long lost medina discovered medina private secretary hold many secrets still medina holds mary enters strange little girl madame breda house become powerful figure wrath threatens disfigure vain medina cure child gives restores boy mind return joyous father later hannay mary join adela turpin mercot gaudian celebration restful spell country sandy warns hannay medina never accused crimes may revenge advises head scotland spell soon mary son doctor greenslade scottish highlands deerstalking season soon archie arrives news medina neighbouring lodge hannay prepares showdown long complex stalk crags hannay bullets climbs dangerous chimney hand shot medina struggles top medina follows takes bad turn gets stuck loses gun hannay lowers rope exhausted medina much one handed hannay raise lowering wears rope breaks dropping medina death hannay falls back exhausted found alive safe next day three hostages,thriller,the three hostages
Dead and Alive,deucalion legendary monster heroic figure dedicated battling evil gave life megalomaniacal victor helios unleashed engineered killers modern day new orleans detectives carson connor michael maddison deucalion human partners trying end reign terror helios killers dead alive,thriller,dead and alive
Trusted Like the Fox,story based world war era edwin cushmann political double crosser changes identity david ellis escape allied forces eventually meets deaf girl named grace clark trying hard survive uses protection run london cushmann fractures leg left mercy grace cares like soon come across gentleman stranger name richard crane shelters house many things leaves grace highly impressed even extent believing crane love cushmann highly meanwhile police cushmann girl believed local inspector james gets cushmann london begins investigate subordinate rogers rest story happens three main characters trusted like fox,thriller,trusted like the fox
Run Before the Wind,lee ran life southern wealth privilege spend peaceful summer coast ireland peace beautiful troubled land restless dissatisfied dreams shipbuilding sailing crystal blue waters explosion senseless violence dragging young american drifter lethal game terror revenge fires hatred rage unchecked place lush rolling hills deadly secrets lee must run life bloody past find sanctuary rolling waves irish sea breathtaking novel suspense high adventure new york times bestselling author stuart woods run wind,thriller,run before the wind
The Dark Crusader,bentall british physicist deployed counterespionage duties suddenly recalled london mission turkey involving theft information british missiles eight top scientists disappeared responding advertisements placed newspapers top level scientists different fields research offering attractive rates pay precondition applicants married children eight scientists disappear either australia route bentall paired marie hopeman another agent posing wife james bond bentall much stumbling self deprecating fool gets things wrong start ends position villains want bentall hopeman kidnapped unscheduled stop fiji escape island vardu remote coral atoll middle pacific ocean island vardu currently home professor witherspoon archaeologist note radio transmitter boat scheduled arrive three weeks something witherspoon bentall finds later bentall discovers witherspoon actually leclerc mastermind behind plot steal british missile dark crusader unnamed foreign power plot becomes even complicated bentall hopeman find falling love even try unravel plot steal highly classified missile technology however maclean neither female agent situation quite seems novel really two endings one bentall must chose saving hopeman preventing theft missile second bentall finally unravels last details plot boss although standard literary device double ending packs considerable emotional punch dark crusader,thriller,the dark crusader
The Golden Egg,two lovers rex hofman saskia ehlvest traveled france bicycling vacation one night minor argument quickly make rex pulls convenience store refuel saskia bury coins mark spot goes station buy drinks never seen eight years later still haunted disappearance relationship another woman named lieneke sympathetic frustrated hold saskia disappearance despite misgivings however become engaged point reader introduced raymond lemorne man responsible whatever happened saskia novella reveals lemorne saved young girl drowning proven capable great goodness raymond begins wonder capable act pure evil comes idea murder someone horrible fashion imagine book follows meticulous preparations long months trying find suitable victim section novella ends abducting saskia still told happens though book provide clues point narrative switches back rex obsession discovering happened saskia grown extreme taken large loan post advertisements papers throughout france hoping someone might able provide information quest also driven wedge relationship lieneke one night approached lemorne reveals one abducted saskia bizarre show sympathy offers satisfy rex determination discover ultimate fate rex agrees undergo ordeal saskia suffered long discussion two men rex agrees lemorne proposal proceeds drink cup coffee laced sedative awakens sometime later find buried alive suffocates imagining finally reunited saskia epilogue revealed several newspapers commented upon rex mysterious disappearance eerie similarity saskia fates never discovered vanished face earth golden egg,thriller,the golden egg
Rainbow Six,central intelligence agency operatives john clark domingo chavez join special air service sas officer alistair stanley forming elite multinational counter terrorist unit known rainbow based hereford england unit consists highly effective cohesive pair operational squads supplemented intelligence technological experts sas clark commanding officer chavez leads one two squads long establishment rainbow bank bern switzerland becomes site hostage situation eventually determined led wanted terrorist ernst model early desperate show resolve terrorists kill one hostages leading swiss government seek help rainbow chavez team deployed scene disguised policemen able successfully breach bank kill terrorists loss civilian lives several weeks later chavez deployed austria group left wing german terrorists taken schloss wealthy austrian businessman erwin ostermann order obtain imaginary special access codes international trading markets careful planning negotiating terrorists persuaded take hostages waiting helicopter presumably make getaway way helicopter rainbow disguised shooters ambush kill soon afterward even terrorists take spanish theme park demanding release carlos jackal exchange thirty five children taken hostage due size scope operation rainbow deploys squads stand rainbow unable prevent terrorists execution terminally ill dutch girl squads manage eliminate terrorists without loss innocent life clark colleagues become flurry activity older terrorists unbeknownst radical eco terrorists biotechnology firm called horizon corporation orchestrated previous attacks hired kgb officer dimitriy popov foment incidents increase terror attacks helps security firm land contract olympic games sydney australia within olympic security apparatus plan launch sophisticated bioweapon attack intended wipe majority human race upon learning rainbow popov directs members provisional irish republican army take local hospital hereford near rainbow base take clark chavez wives hostage ambush one rainbow squads rainbow sas retake hospital capturing terrorists interrogation reveals popov involvement instigating attack focus manhunt popov kept hidden horizon secret base kansas upon learning planned olympic attack appalled popov escapes compound contacts clark fortunately chavez present oly security consultant manages thwart attack plans destroyed eco terrorists retreat refuge deep brazilian rain forest hoping negotiate deal return united states clark knowing may never put trial tracks brazilian hideout deploys rainbow location rainbow defeats eco terrorists militia force destroys facility supplies clark survivors stripped naked left die taunting reconnect nature critical assistance popov charged role attacks horizon corporation continues legitimate pharmaceutical corporation without ceo employees involved never revealed plot rainbow six,thriller,rainbow six
CHERUB: Man Vs. Beast,book starts year old boy called andy pierce witnessing mother getting assaulted two masked men working animal freedom militia book skips kerry annoyed boyfriend james james goes room met sister lauren asks help best friend bethany sneak basic training compound give bethany brother jake lauren crush rat food james refuses lauren blackmails threatening tell kerry cheating mission year james joins girls mission get food trainees goes fine mac watches back cctv get caught james punished blackmailed lauren kyle sent mission bring afm animal freedom militia lauren stuck con meets old animal rights protest group get invited rescuing dozens dogs compound supposed sold onto testing company goes well rescue rescuers overwhelmed many dogs rescued thought chapter ends lauren saving puppy getting run zara car end keeping dog chairwoman house lauren always visits puppy called meatball due lauren vegetarian together james lauren kyle succeed mission return home mission lauren becomes vegetarian end james puts meat bag plane annoy zara asker becomes chairman succeeding mcafferty retires cherub man beast,thriller,cherub: man vs. beast
The Bourne Identity,stormy mediterranean sea man found floating water small ship several bullet wounds including head wound resulted amnesia doctor treating finds message surgically embedded hip contains details swiss bank account presumably held anonymously patient heads zurich visit bank learns name jason charles bourne finds million account transfers bulk money takes cash leaves attacked three men thwarts attempt life panic escapes back hotel takes hostage french canadian government economist named marie jacques incidents marie escapes bourne caught pursuers manages escape rescue marie thug raping would killed shot several times taken marie hotel recuperate couple head paris investigate bourne connection treadstone corporation apparent source money account bourne marie learn attackers may led carlos jackal assassin whose trademark execution bullet throat meanwhile america secret conference convened head treadstone members pentagon top brass including army officer named gordon webb one carlos operatives known european storms mansion treadstone based killing everyone inside bourne framed murders alexander conklin cia former friend bourne tasked handling matter bourne convinces french intelligence general villiers join side realizes wife may mole carlos discovers boutique used drop intel recognized employee named anjou claims man past agrees meet anjou learns comrades cia paramilitary unit called medusa vietnam war codename delta conklin convinced bourne turned baits meeting rambouillet cemetery france however bourne arrives early incapacitates conklin hidden associate although conklin assumes bourne kill bourne lets get away villiers wife killed bourne takes blame order bait carlos following usa new york bourne finds treadstone mansion bluffs way attacked top floor knife wielding carlos carlos shoots bourne escapes realizing bleed soon bourne manages find strength kill carlos men conklin arrives forces carlos retreat bourne passes final chapter returns marie two men tell bourne tragic past young foreign service officer named david webb brother gordon webb david successful paramilitary officer army training alias cain rival assassin plan draw carlos jackal bourne identity,thriller,the bourne identity
In Odd We Trust,odd trust serves prequel first odd thomas novel ghost young boy appears odd embarks quest bring justice boy killer ghost move odd friend chief police wyatt porter shares details case informs boy babysitter one discovered body babysitter turns sherry sheldon childhood friend odd girlfriend soulmate stormy llewellyn sherry relates stalker leaving disturbing notes several months believes stalker may murderer odd stormy resolve catch stalker kills odd asks ghost little boy help find killer joey leads street corner sees man man flees odd tries address odd gives chase loses quarry trips lawn gnome four neighborhood children believed targets received note killer chief porter assigns police escorts houses odd stormy decide spend night sherry house babysitting girl named angelica policeman stakeout house finds empty car containing mutilated mannequin odd deduces killer nearby taunting throws open doors nearby van discovers man chased earlier odd trade veiled threats stormy shows gun man drives chief porter traces van license plates man named kyle bernshaw gives odd resulting address odd stormy break bernshaw house find giant piles magazines mysterious notes cut glued together note odd revealing trap odd turns find cornered vicious dog saved last minute joey ghost odd stormy race back house left sherry find angelica parents fired left odd realizes sherry one four children police protection target along two borrow car using odd psychic magnetism ability draws person concentrates traveling locate bernshaw abandoned slaughterhouse odd fights limited success stormy shoots leg odd able subdue free sherry trunk bernshaw car killer taken custody refuses confess insisting given chance escape made deal devil everything wants always comes threatens reveal odd identity abilities world bringing storm media attention one things odd fears odd lies pretends sold soul devil powers begins make headway taking bernshaw confidence guard collapses killer able grab guard gun fires bullet ricochets chair odd holding bullet kills bernshaw angelica parents hire sherry story ends odd stormy musing happy ending managed odd trust,thriller,in odd we trust
The Third Twin,jeannie ferrami psy newly hired associate professor fictional jones falls university baltimore maryland criminality researcher attempting isolate influence genes personality opposed upbringing interest criminal tendencies may due father professional burglar start novel serving fifteen year prison sentence financial conditions also recently strained novel opens checks alzheimer afflicted mother shabby nursing home sister patty afford jeannie talented tennis player unwinding match university gym smell smoke detected convinced full blown fire occupants scurry various states undress process loses track friend lisa hoxton diving back building jeannie finds lisa back room raped man wearing red baseball cap bearing word security lisa receives pity hospital staff police officers assigned situation next morning attended michelle delaware sex crimes unit far sympathetic woman walks lisa process creating facial composite suspect also explains fire set bit smoke cause panic perpetrator opportunist planner sociopath serial rapist jeannie heads university continue study meets steven logan young man flirted tennis match handsome charming first year law school despite age difference sparks fly however steve unaware twin vindication jeannie recruitment system designed software isolate possible identical twins raised apart comparing raw binary code ecgs dental rays fingerprints steven twin dennis pinker man serving life sentence murder troubles steve teenager provoked rage damage newly purchased leather jacket beat offender almost death always suspected murderous impulses existence twin confirms jeannie carries study steve visited berrington jones famed researcher professor jones falls one three owners threeplex medical research company also provides great deal jfu funding berry shocked sight steve immediately calls two threeplex owners preston barck united states senator jim proust inform logan involvement revealed firm three founders racist classist threeplex secrets hide evidently pertaining steven logan dennis pinker furthermore futures line threeplex considered purchase international conglomerate landsmann sum million among things finance proust presidential campaign berrington takes immediate action prevent jeannie conducting research alerting press possible real ethical issues search engine shortly steve arrested delaware rape lisa hoxton lisa later line though steve insists jeannie believes innocent steven suffers torturous hours jail eventually released bail offering part conditions stay away lisa hoxton mdash though might complications since actually know looks like time jeannie surprised father released six years early good behavior next day lisa visit dennis pinker jail confirming indeed identical logan discovering via interviews parents twin brother given adoption born two weeks steve different hospital different state steven parents corroborate claim jeannie realizes happened sets parents confess fathers military couples sought fertility treatments aventine clinic philadelphia pennsylvania pamphlet clinic jeannie discovers aventine clinic founded threeplex research center vitro fertilization shortly afterwards approached someone identical steve dennis mistakes steve attempts rape car berrington busy protecting threeplex secrets jeannie meets maurice obell president jfu concerning ethics search program spurred article new york times successfully manipulates arguing instead compromising convinces obell fire though entitled hearing college discipline committee finally bribes two members committee make sure jeannie fired jeannie arrives apartment baltimore steve waiting initial terror calmed neighbor oliver explains steve waiting two hours making impossible attacked philadelphia calls dennis pinker jail confirms still incarcerated steve realize existence novel titular third twin man attacked jeannie philadelphia possibly man raped lisa cloned children implanted illegally mrs logan mrs pinker wombs called fertility treatments even better jeannie means discover far conspiracy goes friend ran search engine fbi fingerprint database jeannie saves data floppy disk use called obell fired time returns locked office hope win hearing steve serving lawyer unfortunately though best complimented efforts lawyer representing university match committee already made mind jean ferrami dismissed position jones falls university however jeannie one resource father pete ferrami father daughter duo manage break jfu psychology building office make floppy disk jeannie fit paranoia labeled shopping lst printout contents steve logan dennis pinker linked third name wayne stattner turns nightclub impresario new york city delaware fly meet apartment shrieks sadism alibi airtight emmy awards presentation seen national television however like pinker logan wayne father military time conception mother sought fertility treatments aventine four twins least conversation steven father col charles logan reveals motivation super soldier program rumored initiated nixon shakes steven faith genetically disposed murder risk taking behavior biological parents might total strangers jeannie research col logan uploads search program pentagon computers comes total eight names smuggles steven arrested jeannie lisa use nationwide rom phone book database track remaining five one per erikson dead botched skiing stunt one murray claud jail one henry king still large george dassault able reach final one harvey jones leave last number joneses america find philadelphia jeannie drives investigate courtesy neighbor spare key jeannie places perpetrator due distinctive red security baseball cap neighbor also informs harvey often travels baltimore sundays berrington jones sinking ever lower straits though hoped bribing discipline committee would end finds following jeannie around car intervention proust gets col logan arrested steve still damning list eight names berry quickly confirms jeannie contact confronts harvey son raped lisa hoxton assaulted jeannie philadelphia proust idea carried without berrington knowledge approval berrington sends harvey jeannie pretends steve find much knows plans harvey plays situation quite successfully displays behavioral tic jeannie seen berrington use smoothing eyebrow forefinger timely arrival real steve well neighboring oliver harvey subdued jeannie lisa steve decide course action landsmann threeplex holding joint press conference tomorrow intend announce purchase jeannie crash party many twins interest tow tell side story steve makes approaches furthermore turn berrington plan back send steve posing harvey enemy camp jeannie lisa oliver smuggle harvey hotel steve plays situation quite successfully next morning fails display behavioral tic family joke berrington locks bathroom liberates son fortunately jeannie recruitment scheme succeeds lisa shows henry king george dassault wayne stattner combined steve harvey enough draw attention press steve also comes conclusion turns propositions berrington maid harvey apparently blackmailed sexual servitude thanks parents upbringing unknown progenitors genes realizes ultimately choices define epilogue takes place next june roughly nine months later jeannie steve honeymoon first stop new rest home mrs ferrami lives cap berrington jones preston barck jim proust gone flames pete ferrami started new lucrative business providing security arrangements people homes harvey jones serving five years rape arson jeannie taken lucrative position head genetics research landsmann third twin,thriller,the third twin
Santorini,station aegean sea guise hydrographic survey mission crew royal navy electronic intelligence vessel hms ariadne witnesses two disasters mysterious strategic bomber crashing sea large pleasure yacht fire sinking plane turns loaded nuclear weapons survivors rescued yacht include wealthy greek tycoon appear somehow connected plane destruction potential saboteurs aboard commander talbot crew ariadne must raise one activated weapon explode setting others sympathetic detonation causing nearby volcano santorini explode tremendous eruption would bring devastating tsunami possibly worldwide nuclear winter santorin santorini,thriller,santorini
The Stars' Tennis Balls,ned edward maddstone seventeen year old schoolboy appears sort person everything goes right head boy talented sports following footsteps father towards oxford university career politics things begin wrong main character schoolfriend ashley barson garland discovers maddstone secretly read part diary therefore knows dark secret namely ashamed working class roots clever barson garland plots besmirch maddstone good fortune arrest possession marijuana help rufus cade jealous maddstone good looks popularity gordon fendeman portia american cousin also love unfortunately maddstone arrested envelope pocket entrusted dying sailing instructor turns coded message irish republican army whisked away police station smooth secret services operative called oliver delft listens calmly maddstone explanation events reveals address asked deliver envelope delft mother would reveal hidden ancestral relationship fenian traitor delft callously decides maddstone must disappear maddstone beaten pumped full drugs taken away remote lunatic asylum island coast sweden many years impressed mallo memories life ned maddstone false merely product diseased mind starting believe mind programming finally allowed fraternise inmates begins regularly playing chess man known simply babe highly educated perfectly sane man also imprisoned british government learned cope situation acting mad benefit captors two men become close friends generally give hope babe agrees educate maddstone helping master game chess teaching speak multiple languages among things eventually maddstone realises indeed son sir charles maddstone babe help laterally determines betrayed although still baffled imprisoned island ned mentions name oliver delft however babe able recall list ira sympathisers briefly saw thanks photographic memory leading ned learn true nature conspiracy time babe dies first devised way maddstone might escape mainland hiding intended coffin free sells prescription drugs stolen asylum directed babe travels switzerland visit bank gains access account babe deposited large sums stolen money also accrued many years worth interest thus year maddstone become fabulously wealthy tune million assuming identity simon cotter swiftly becomes famous mysterious internet entrepreneur making huge profits investing high risk ventures returns england wreaks revenge cleverly driving rufus cade ashley barson garland gordon fendeman oliver delft deaths task complete hopes renew relationship portia discovering identity portia horrified change maddstone personality flees son albert death husband gordon novel ends cotter maddstone tearing old love letters sent portia returns realises real home hospital island owns stars tennis balls,thriller,the stars' tennis balls
